firstName,lastName,hireDate,seasons
Jim,Grobe,2000-12-11T00:00:00.000Z,"[{'school': 'Wake Forest', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -0.9, 'spOverall': -3.9, 'spOffense': 23.3, 'spDefense': 27.1}]"
Al,Groh,2000-12-30T00:00:00.000Z,"[{'school': 'Virginia', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': 25, 'postseasonRank': None, 'srs': 5.6, 'spOverall': 5.6, 'spOffense': 29.2, 'spDefense': 23.6}]"
Mike,Gundy,2005-01-03T00:00:00.000Z,"[{'school': 'Oklahoma State', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -8.9, 'spOverall': 1.1, 'spOffense': 25.4, 'spDefense': 24.3}]"
Brent,Guy,2004-12-10T00:00:00.000Z,"[{'school': 'Utah State', 'year': 2005, 'games': 11, 'wins': 3, 'losses': 8, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -20.5, 'spOverall': -23.9, 'spOffense': 12.5, 'spDefense': 36.5}]"
Walt,Harris,2004-12-13T00:00:00.000Z,"[{'school': 'Stanford', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 4.8, 'spOverall': 0.6, 'spOffense': 26.4, 'spDefense': 25.7}]"
Ken,Hatfield,,"[{'school': 'Rice', 'year': 2005, 'games': 11, 'wins': 1, 'losses': 10, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -18.9, 'spOverall': -21.6, 'spOffense': 20, 'spDefense': 41.7}]"
Dan,Hawkins,2000-12-02T00:00:00.000Z,"[{'school': 'Boise State', 'year': 2005, 'games': 13, 'wins': 9, 'losses': 4, 'ties': 0, 'preseasonRank': 18, 'postseasonRank': None, 'srs': 5.4, 'spOverall': 4.5, 'spOffense': 29.5, 'spDefense': 24.9}]"
Pat,Hill,,"[{'school': 'Fresno State', 'year': 2005, 'games': 13, 'wins': 8, 'losses': 5, 'ties': 0, 'preseasonRank': 24, 'postseasonRank': None, 'srs': 9.9, 'spOverall': 10.6, 'spOffense': 36.4, 'spDefense': 25.8}]"
Terry,Hoeppner,2004-12-18T00:00:00.000Z,"[{'school': 'Indiana', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -3.1, 'spOverall': -4.7, 'spOffense': 26.2, 'spDefense': 30.9}]"
Jim,Hofher,2000-12-01T00:00:00.000Z,"[{'school': 'Buffalo', 'year': 2005, 'games': 11, 'wins': 1, 'losses': 10, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -24.7, 'spOverall': -28.6, 'spOffense': 7.2, 'spDefense': 35.8}]"
Brady,Hoke,2002-12-18T00:00:00.000Z,"[{'school': 'Ball State', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -11, 'spOverall': -18.5, 'spOffense': 16.3, 'spDefense': 34.8}]"
Nick,Holt,2003-12-08T00:00:00.000Z,"[{'school': 'Idaho', 'year': 2005, 'games': 11, 'wins': 2, 'losses': 9, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -22.2, 'spOverall': None, 'spOffense': None, 'spDefense': None}]"
Skip,Holtz,2004-12-03T00:00:00.000Z,"[{'school': 'East Carolina', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -9.1, 'spOverall': -4.6, 'spOffense': 27.3, 'spDefense': 31.9}]"
Bobby,Johnson,2001-12-23T00:00:00.000Z,"[{'school': 'Vanderbilt', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -2.1, 'spOverall': -3.8, 'spOffense': 28.6, 'spDefense': 32.4}]"
