first_name,last_name,school,year,wins,losses,sp_overall,sp_offense,sp_defense,coach_name
Pat,Fitzgerald,Northwestern,2012,10,3,7.2,30.6,24.3,Pat Fitzgerald
Kyle,Flood,Rutgers,2012,9,4,0.0,19.9,18.0,Kyle Flood
Dennis,Franchione,Texas State,2012,4,8,-12.9,26.5,41.8,Dennis Franchione
James,Franklin,Vanderbilt,2012,9,4,10.0,26.9,18.8,James Franklin
Hugh,Freeze,Ole Miss,2012,7,6,14.2,36.9,22.8,Hugh Freeze
Justin,Fuente,Memphis,2012,4,8,-10.0,19.3,29.2,Justin Fuente
Al,Golden,Miami,2012,7,5,8.2,36.9,28.8,Al Golden
Todd,Graham,Arizona State,2012,8,5,16.6,35.2,18.8,Todd Graham
Jim,Grobe,Wake Forest,2012,5,7,-11.9,20.1,30.1,Jim Grobe
Mike,Gundy,Oklahoma State,2012,8,5,24.0,44.7,23.3,Mike Gundy
Bobby,Hauck,UNLV,2012,2,11,-16.7,19.0,35.4,Bobby Hauck
Darrell,Hazell,Kent State,2012,11,3,-0.1,26.6,28.4,Darrell Hazell
Patrick,Higgins,Purdue,2012,0,1,-1.0,27.6,27.0,Patrick Higgins
Brady,Hoke,Michigan,2012,8,5,20.5,36.2,16.6,Brady Hoke
Dana,Holgorsen,West Virginia,2012,7,6,8.1,39.1,29.4,Dana Holgorsen
Doc,Holliday,Marshall,2012,5,7,-1.4,31.9,33.9,Doc Holliday
Skip,Holtz,South Florida,2012,3,9,-3.2,25.5,29.8,Skip Holtz
Danny,Hope,Purdue,2012,3,3,-1.0,27.6,27.0,Danny Hope
Mark,Hudspeth,Louisiana,2012,9,4,0.0,32.5,34.7,Mark Hudspeth
Mark,Hutson,Tulane,2012,0,6,-22.5,17.8,41.3,Mark Hutson
Curtis,Johnson,Tulane,2012,2,10,-22.5,17.8,41.3,Curtis Johnson
Ellis,Johnson,Southern Miss,2012,0,12,-18.6,18.4,36.0,Ellis Johnson
Paul,Johnson,Georgia Tech,2012,7,7,6.0,36.1,28.1,Paul Johnson
Butch,Jones,Cincinnati,2012,9,3,11.1,33.8,23.7,Butch Jones
Joey,Jones,South Alabama,2012,2,11,-25.5,9.7,34.3,Joey Jones
June,Jones,SMU,2012,7,6,-7.6,20.8,27.1,June Jones
Brian,Kelly,Notre Dame,2012,12,1,19.2,33.4,13.8,Brian Kelly
Chip,Kelly,Oregon,2012,12,1,27.2,46.4,17.2,Chip Kelly
Lane,Kiffin,USC,2012,7,6,21.9,40.7,18.3,Lane Kiffin
Jerry,Kill,Minnesota,2012,6,7,-0.9,23.3,24.1,Jerry Kill
Mike,Leach,Washington State,2012,3,9,-4.4,24.4,29.0,Mike Leach
Pete,Lembo,Ball State,2012,9,4,-2.6,32.8,37.5,Pete Lembo
Tony,Levine,Houston,2012,5,7,-5.6,26.2,32.9,Tony Levine
Mike,London,Virginia,2012,4,8,-0.3,24.8,23.7,Mike London
Rocky,Long,San Diego State,2012,9,4,2.4,29.3,26.1,Rocky Long
Mike,MacIntyre,San José State,2012,10,2,9.7,35.2,27.3,Mike MacIntyre
Gus,Malzahn,Arkansas State,2012,9,3,1.2,32.5,30.2,Gus Malzahn
Doug,Marrone,Syracuse,2012,8,5,5.8,34.3,26.8,Doug Marrone
Dan,McCarney,North Texas,2012,4,8,-14.4,21.4,34.9,Dan McCarney
Jim,McElwain,Colorado State,2012,4,8,-9.7,19.7,30.3,Jim McElwain
Garrick,McGee,UAB,2012,3,9,-11.1,26.6,38.2,Garrick McGee
Ruffin,McNeill,East Carolina,2012,8,5,-5.5,27.5,33.0,Ruffin McNeill
Bronco,Mendenhall,BYU,2012,8,5,10.9,26.3,15.0,Bronco Mendenhall
Urban,Meyer,Ohio State,2012,12,0,23.8,40.6,17.5,Urban Meyer
Les,Miles,LSU,2012,10,3,23.7,34.5,12.1,Les Miles
Charley,Molnar,Massachusetts,2012,1,11,-34.4,8.4,43.1,Charley Molnar
Jim,Mora,UCLA,2012,9,5,14.8,36.8,22.8,Jim Mora
Dan,Mullen,Mississippi State,2012,8,5,8.1,32.9,25.1,Dan Mullen
Will,Muschamp,Florida,2012,11,2,28.0,32.2,6.6,Will Muschamp
