year,team,conference,wins,losses,games
2007,Western Michigan,Mid-American,5,7,12
2007,Wyoming,Mountain West,5,7,12
2008,Auburn,SEC,5,7,12
2008,UAB,Conference USA,4,8,12
2008,Arkansas,SEC,5,7,12
2008,Arizona State,Pac-10,5,7,12
2008,Arizona,Pac-10,8,5,13
2008,San Diego State,Mountain West,2,10,12
2008,San José State,Western Athletic,6,6,12
2008,Stanford,Pac-10,5,7,12
2008,California,Pac-10,9,4,13
2008,UCLA,Pac-10,4,8,12
2008,USC,Pac-10,12,1,13
2008,Colorado State,Mountain West,7,6,13
2008,Colorado,Big 12,5,7,12
2008,UConn,Big East,8,5,13
2008,Florida State,ACC,9,4,13
2008,Florida,SEC,13,1,14
2008,South Florida,Big East,8,5,13
2008,Georgia Tech,ACC,9,4,13
2008,Georgia,SEC,10,3,13
2008,Hawai'i,Western Athletic,7,7,14
2008,Iowa State,Big 12,2,10,12
2008,Boise State,Western Athletic,12,1,13
2008,Idaho,Western Athletic,2,10,12
2008,Northwestern,Big Ten,9,4,13
2008,Indiana,Big Ten,3,9,12
2008,Notre Dame,FBS Independents,7,6,13
2008,Kentucky,SEC,7,6,13
2008,Louisville,Big East,5,7,12
2008,Western Kentucky,FBS Independents,2,10,12
2008,LSU,SEC,9,5,14
2008,Boston College,ACC,9,5,14
2008,Maryland,ACC,8,5,13
2008,Michigan State,Big Ten,9,4,13
2008,Michigan,Big Ten,3,9,12
2008,Minnesota,Big Ten,7,6,13
2008,Missouri,Big 12,10,4,14
2008,Ole Miss,SEC,9,4,13
2008,Duke,ACC,4,8,12
2008,East Carolina,Conference USA,9,5,14
2008,NC State,ACC,6,7,13
2008,North Carolina,ACC,8,5,13
2008,Wake Forest,ACC,8,5,13
2008,Nebraska,Big 12,9,4,13
2008,Rutgers,Big East,8,5,13
2008,New Mexico State,Western Athletic,3,9,12
2008,New Mexico,Mountain West,4,8,12
2008,Syracuse,Big East,3,9,12
2008,Bowling Green,Mid-American,6,6,12
2008,Miami (OH),Mid-American,2,10,12
2008,Ohio State,Big Ten,10,3,13
2008,Ohio,Mid-American,4,8,12
2008,Oklahoma State,Big 12,9,4,13
2008,Oklahoma,Big 12,12,2,14
2008,Tulsa,Conference USA,11,3,14
2008,Oregon State,Pac-10,9,4,13
2008,Penn State,Big Ten,11,2,13
2008,Temple,Mid-American,5,7,12
2008,Pittsburgh,Big East,9,4,13
2008,Clemson,ACC,7,6,13
2008,Memphis,Conference USA,6,7,13
2008,Vanderbilt,SEC,7,6,13
2008,Baylor,Big 12,4,8,12
2008,Rice,Conference USA,10,3,13
2008,Texas A&M,Big 12,4,8,12
2008,Houston,Conference USA,8,5,13
2008,North Texas,Sun Belt,1,11,12
2008,Texas,Big 12,12,1,13
2008,BYU,Mountain West,10,3,13
2008,Utah,Mountain West,13,0,13
2008,Virginia,ACC,5,7,12
2008,Virginia Tech,ACC,10,4,14
2008,Washington,Pac-10,0,12,12
2008,Washington State,Pac-10,2,11,13
2008,Wisconsin,Big Ten,7,6,13
2008,Marshall,Conference USA,4,8,12
2008,West Virginia,Big East,9,4,13
2008,Fresno State,Western Athletic,7,6,13
2008,Louisiana,Sun Belt,6,6,12
2008,Utah State,Western Athletic,3,9,12
2008,Alabama,SEC,12,2,14
2008,Mississippi State,SEC,4,8,12
2008,Army,FBS Independents,3,9,12
2008,Illinois,Big Ten,5,7,12
2008,Air Force,Mountain West,8,5,13
2008,Akron,Mid-American,5,7,12
2008,Arkansas State,Sun Belt,6,6,12
2008,Ball State,Mid-American,12,2,14
2008,Buffalo,Mid-American,8,6,14
2008,UCF,Conference USA,4,8,12
2008,Central Michigan,Mid-American,8,5,13
2008,Cincinnati,Big East,11,3,14
2008,Eastern Michigan,Mid-American,3,9,12
2008,Florida Atlantic,Sun Belt,7,6,13
2008,Florida International,Sun Belt,5,7,12
2008,Iowa,Big Ten,9,4,13
2008,Kansas,Big 12,8,5,13
2008,Kansas State,Big 12,5,7,12
2008,Kent State,Mid-American,4,8,12
2008,Louisiana Tech,Western Athletic,8,5,13
2008,Miami,ACC,7,6,13
2008,Middle Tennessee,Sun Belt,5,7,12
2008,Navy,FBS Independents,8,5,13
2008,UL Monroe,Sun Belt,4,8,12
2008,UNLV,Mountain West,5,7,12
2008,Nevada,Western Athletic,7,6,13
2008,Northern Illinois,Mid-American,6,7,13
2008,Oregon,Pac-10,10,3,13
2008,Purdue,Big Ten,4,8,12
2008,SMU,Conference USA,1,11,12
2008,Southern Miss,Conference USA,7,6,13
2008,South Carolina,SEC,7,6,13
2008,TCU,Mountain West,11,2,13
2008,Tennessee,SEC,5,7,12
2008,UTEP,Conference USA,5,7,12
2008,Texas Tech,Big 12,11,2,13
2008,Toledo,Mid-American,3,9,12
2008,Troy,Sun Belt,8,5,13
2008,Tulane,Conference USA,2,10,12
2008,Western Michigan,Mid-American,9,4,13
2008,Wyoming,Mountain West,4,8,12
2009,Auburn,SEC,8,5,13
2009,UAB,Conference USA,5,7,12
2009,Arkansas,SEC,8,5,13
2009,Arizona State,Pac-10,4,8,12
2009,Arizona,Pac-10,8,5,13
2009,San Diego State,Mountain West,4,8,12
2009,San José State,Western Athletic,2,10,12
2009,Stanford,Pac-10,8,5,13
2009,California,Pac-10,8,5,13
2009,UCLA,Pac-10,7,6,13
2009,USC,Pac-10,9,4,13
2009,Colorado State,Mountain West,3,9,12
2009,Colorado,Big 12,3,9,12
2009,UConn,Big East,8,5,13
2009,Florida State,ACC,7,6,13
2009,Florida,SEC,13,1,14
2009,South Florida,Big East,8,5,13
2009,Georgia Tech,ACC,11,3,14
2009,Georgia,SEC,8,5,13
2009,Hawai'i,Western Athletic,6,7,13
2009,Iowa State,Big 12,7,6,13
2009,Boise State,Western Athletic,14,0,14
2009,Idaho,Western Athletic,8,5,13
2009,Northwestern,Big Ten,8,5,13
2009,Indiana,Big Ten,4,8,12
2009,Notre Dame,FBS Independents,6,6,12
2009,Kentucky,SEC,7,6,13
2009,Louisville,Big East,4,8,12
2009,Western Kentucky,Sun Belt,0,12,12
2009,LSU,SEC,9,4,13
2009,Boston College,ACC,8,5,13
2009,Maryland,ACC,2,10,12
2009,Michigan State,Big Ten,6,7,13
2009,Michigan,Big Ten,5,7,12
2009,Minnesota,Big Ten,6,7,13
2009,Missouri,Big 12,8,5,13
2009,Ole Miss,SEC,9,4,13
2009,Duke,ACC,5,7,12
2009,East Carolina,Conference USA,9,5,14
2009,NC State,ACC,5,7,12
2009,North Carolina,ACC,8,5,13
2009,Wake Forest,ACC,5,7,12
2009,Nebraska,Big 12,10,4,14
2009,Rutgers,Big East,9,4,13
2009,New Mexico State,Western Athletic,3,10,13
2009,New Mexico,Mountain West,1,11,12
2009,Syracuse,Big East,4,8,12
2009,Bowling Green,Mid-American,7,6,13
2009,Miami (OH),Mid-American,1,11,12
2009,Ohio State,Big Ten,11,2,13
2009,Ohio,Mid-American,9,5,14
2009,Oklahoma State,Big 12,9,4,13
2009,Oklahoma,Big 12,8,5,13
2009,Tulsa,Conference USA,5,7,12
2009,Oregon State,Pac-10,8,5,13
2009,Penn State,Big Ten,11,2,13
2009,Temple,Mid-American,9,4,13
2009,Pittsburgh,Big East,10,3,13
2009,Clemson,ACC,9,5,14
2009,Memphis,Conference USA,2,10,12
2009,Vanderbilt,SEC,2,10,12
2009,Baylor,Big 12,4,8,12
2009,Rice,Conference USA,2,10,12
2009,Texas A&M,Big 12,6,7,13
2009,Houston,Conference USA,10,4,14
2009,North Texas,Sun Belt,2,10,12
2009,Texas,Big 12,13,1,14
2009,BYU,Mountain West,11,2,13
2009,Utah,Mountain West,10,3,13
2009,Virginia,ACC,3,9,12
2009,Virginia Tech,ACC,10,3,13
2009,Washington,Pac-10,5,7,12
2009,Washington State,Pac-10,1,11,12
2009,Wisconsin,Big Ten,10,3,13
2009,Marshall,Conference USA,7,6,13
2009,West Virginia,Big East,9,4,13
2009,Fresno State,Western Athletic,8,5,13
2009,Louisiana,Sun Belt,6,6,12
2009,Utah State,Western Athletic,4,8,12
2009,Alabama,SEC,14,0,14
2009,Mississippi State,SEC,5,7,12
2009,Army,FBS Independents,5,7,12
2009,Illinois,Big Ten,3,9,12
2009,Air Force,Mountain West,8,5,13
2009,Akron,Mid-American,3,9,12
2009,Arkansas State,Sun Belt,4,8,12
2009,Ball State,Mid-American,2,10,12
2009,Buffalo,Mid-American,5,7,12
2009,UCF,Conference USA,8,5,13
2009,Central Michigan,Mid-American,12,2,14
2009,Cincinnati,Big East,12,1,13
2009,Eastern Michigan,Mid-American,0,12,12
2009,Florida Atlantic,Sun Belt,5,7,12
2009,Florida International,Sun Belt,3,9,12
2009,Iowa,Big Ten,11,2,13
2009,Kansas,Big 12,5,7,12
2009,Kansas State,Big 12,6,6,12
2009,Kent State,Mid-American,5,7,12
2009,Louisiana Tech,Western Athletic,4,8,12
2009,Miami,ACC,9,4,13
2009,Middle Tennessee,Sun Belt,10,3,13
2009,Navy,FBS Independents,10,4,14
2009,UL Monroe,Sun Belt,6,6,12
2009,UNLV,Mountain West,5,7,12
2009,Nevada,Western Athletic,8,5,13
2009,Northern Illinois,Mid-American,7,6,13
2009,Oregon,Pac-10,10,3,13
2009,Purdue,Big Ten,5,7,12
2009,SMU,Conference USA,8,5,13
2009,Southern Miss,Conference USA,7,6,13
2009,South Carolina,SEC,7,6,13
2009,TCU,Mountain West,12,1,13
2009,Tennessee,SEC,7,6,13
2009,UTEP,Conference USA,4,8,12
2009,Texas Tech,Big 12,9,4,13
2009,Toledo,Mid-American,5,7,12
2009,Troy,Sun Belt,9,4,13
2009,Tulane,Conference USA,3,9,12
2009,Western Michigan,Mid-American,5,7,12
2009,Wyoming,Mountain West,7,6,13
2010,Auburn,SEC,14,0,14
2010,UAB,Conference USA,4,8,12
2010,Arkansas,SEC,10,3,13
2010,Arizona State,Pac-10,6,6,12
2010,Arizona,Pac-10,7,6,13
2010,San Diego State,Mountain West,9,4,13
2010,San José State,Western Athletic,1,12,13
2010,Stanford,Pac-10,12,1,13
2010,California,Pac-10,5,7,12
2010,UCLA,Pac-10,4,8,12
2010,USC,Pac-10,8,5,13
2010,Colorado State,Mountain West,3,9,12
2010,Colorado,Big 12,5,7,12
2010,UConn,Big East,8,5,13
2010,Florida State,ACC,10,4,14
2010,Florida,SEC,8,5,13
2010,South Florida,Big East,8,5,13
2010,Georgia Tech,ACC,6,7,13
2010,Georgia,SEC,6,7,13
2010,Hawai'i,Western Athletic,10,4,14
2010,Iowa State,Big 12,5,7,12
2010,Boise State,Western Athletic,12,1,13
2010,Idaho,Western Athletic,6,7,13
2010,Northwestern,Big Ten,7,6,13
2010,Indiana,Big Ten,5,7,12
2010,Notre Dame,FBS Independents,8,5,13
2010,Kentucky,SEC,6,7,13
2010,Louisville,Big East,7,6,13
2010,Western Kentucky,Sun Belt,2,10,12
2010,LSU,SEC,11,2,13
2010,Boston College,ACC,7,6,13
2010,Maryland,ACC,9,4,13
2010,Michigan State,Big Ten,11,2,13
2010,Michigan,Big Ten,7,6,13
2010,Minnesota,Big Ten,3,9,12
2010,Missouri,Big 12,10,3,13
2010,Ole Miss,SEC,4,8,12
2010,Duke,ACC,3,9,12
2010,East Carolina,Conference USA,6,7,13
2010,NC State,ACC,9,4,13
2010,North Carolina,ACC,8,5,13
2010,Wake Forest,ACC,3,9,12
2010,Nebraska,Big 12,10,4,14
2010,Rutgers,Big East,4,8,12
2010,New Mexico State,Western Athletic,2,10,12
2010,New Mexico,Mountain West,1,11,12
2010,Syracuse,Big East,8,5,13
2010,Bowling Green,Mid-American,2,10,12
2010,Miami (OH),Mid-American,10,4,14
2010,Ohio State,Big Ten,12,1,13
2010,Ohio,Mid-American,8,5,13
2010,Oklahoma State,Big 12,11,2,13
2010,Oklahoma,Big 12,12,2,14
2010,Tulsa,Conference USA,10,3,13
2010,Oregon State,Pac-10,5,7,12
2010,Penn State,Big Ten,7,6,13
2010,Temple,Mid-American,8,4,12
2010,Pittsburgh,Big East,8,5,13
2010,Clemson,ACC,6,7,13
2010,Memphis,Conference USA,1,11,12
2010,Vanderbilt,SEC,2,10,12
2010,Baylor,Big 12,7,6,13
2010,Rice,Conference USA,4,8,12
2010,Texas A&M,Big 12,9,4,13
2010,Houston,Conference USA,5,7,12
2010,North Texas,Sun Belt,3,9,12
2010,Texas,Big 12,5,7,12
2010,BYU,Mountain West,7,6,13
2010,Utah,Mountain West,10,3,13
2010,Virginia,ACC,4,8,12
2010,Virginia Tech,ACC,11,3,14
2010,Washington,Pac-10,7,6,13
2010,Washington State,Pac-10,2,10,12
2010,Wisconsin,Big Ten,11,2,13
2010,Marshall,Conference USA,5,7,12
2010,West Virginia,Big East,9,4,13
2010,Fresno State,Western Athletic,8,5,13
2010,Louisiana,Sun Belt,3,9,12
2010,Utah State,Western Athletic,4,8,12
2010,Alabama,SEC,10,3,13
2010,Mississippi State,SEC,9,4,13
2010,Army,FBS Independents,7,6,13
2010,Illinois,Big Ten,7,6,13
2010,Air Force,Mountain West,9,4,13
2010,Akron,Mid-American,1,11,12
2010,Arkansas State,Sun Belt,4,8,12
2010,Ball State,Mid-American,4,8,12
2010,Buffalo,Mid-American,2,10,12
2010,UCF,Conference USA,11,3,14
2010,Central Michigan,Mid-American,3,9,12
2010,Cincinnati,Big East,4,8,12
2010,Eastern Michigan,Mid-American,2,10,12
2010,Florida Atlantic,Sun Belt,4,8,12
2010,Florida International,Sun Belt,7,6,13
2010,Iowa,Big Ten,8,5,13
